relpath	sha256	bytes	version
onboarding-v0.1.13/test/onboarding-client.test.js	112a0fec4630c36ab5d04c517caf2f0e23f1f0cecfac5358a96252037dbfe24b	17728	onboarding-v0.1.13
onboarding-v0.1.13/three-libs/draco/draco_decoder.js	8625489da79a805f4f2a7d511c3e52d8b4085608a9d2a4d5f4f9de5db0aea04f	512465	onboarding-v0.1.13
onboarding-v0.1.13/three-libs/draco/draco_decoder.wasm	a680d927bed9cb864ddbd63521868891af2bfbe755092761b4837487618df8ac	192420	onboarding-v0.1.13
onboarding-v0.1.13/three-libs/draco/draco_wasm_wrapper.js	8bb2952d2ba7d67e1414f8df819410cb0434a666be53f671fff75f68843d76f6	58456	onboarding-v0.1.13
onboarding-v0.1.13/three-libs/three/addons/loaders/DRACOLoader.js	65c114ecb7b349cdc59c75b2c92d19cca672a138060dba0f60f64262fa40408c	13628	onboarding-v0.1.13
onboarding-v0.1.13/three-libs/three/addons/loaders/GLTFLoader.js	d073b438e6a07e1359741dd5d6c76c953420cc0d4fd84eb1bdde94315540e6a3	108522	onboarding-v0.1.13
onboarding-v0.1.13/three-libs/three/addons/utils/BufferGeometryUtils.js	b0c64fe6f3b9907262921b73fafc4ade874c07ba6b4876e164c87a830c2c2113	31554	onboarding-v0.1.13
onboarding-v0.1.13/three-libs/three/three.module.js	e7348ab8c7bf7a41f7afc5fe503c20a0ed090d9536aacf1ee975d7aaee24d394	1280747	onboarding-v0.1.13
onboarding-v0.1.14/CHANGELOG.md	68ce9b5db793c1ac2dd805e7edb7d1edba09af8a4b1c2e8964a2cc27d68cdb33	13745	onboarding-v0.1.14
onboarding-v0.1.14/README.md	b68890819c8532a4fee9b94b56f747f403a948d3d00097f45d69aa56309be119	3096	onboarding-v0.1.14
onboarding-v0.1.14/VERSION	bbafffc2d6537eb2ad597b4a4283ccf96104fc4a6d8c6e36a96d1b8e3d8a9d84	15	onboarding-v0.1.14
onboarding-v0.1.14/assets/chiefmonkey6.glb	36fcbb82ccae0aad13578f986ea214f6fc056b4a86c6284975ce6216924161fe	1227020	onboarding-v0.1.14
onboarding-v0.1.14/character.js	023053665d3da496073f58d76185464aa1300d2de8df5b319dc80da867f19218	13245	onboarding-v0.1.14
onboarding-v0.1.14/deck.js	bebdea67d438d1075a8f821c79429e5589ead3be9d7205861c485168900fb943	5041	onboarding-v0.1.14
onboarding-v0.1.14/index.html	072f6836c8b6f1942da83a48180df01f3109ff02ba551a98e85610fcb7d00979	17677	onboarding-v0.1.14
onboarding-v0.1.14/inspect/index.html	3f7c8e9d465195d5d4de15ce9066e25cd66889e9571400aec127a439752bf58c	10020	onboarding-v0.1.14
onboarding-v0.1.14/inspect/inspector.js	6e72217a8839fb361894c0772d309d6e778cd06213b5ab139370368fa70150e9	10700	onboarding-v0.1.14
onboarding-v0.1.14/onboarding-client.js	4dca6a7adfafe08eb3bf8763cea1bd49bfb9a2ab342ad0739869456576d70a85	23928	onboarding-v0.1.14
onboarding-v0.1.14/scenes/01-approach.webp	7f08977f9f69d76be10e3b44d2889db8c92b92433afa00009bf08ca0c31a96a7	320598	onboarding-v0.1.14
onboarding-v0.1.14/scenes/02-preparation.webp	6873002c35e0c48c9625d03193d8817abf33974c45da34d2d28d650c34823cd1	204294	onboarding-v0.1.14
onboarding-v0.1.14/scenes/03-connection.webp	fd158e958d0f698ba29e131329438bbcdec922c8f248cdcc29b1385d91942656	230054	onboarding-v0.1.14
